16:05:09.988 [main] INFO  com.dc.dms.Application - characterEncodingFilter
16:05:09.988 [main] INFO  com.dc.dms.Application - confService
16:05:09.988 [main] INFO  com.dc.dms.Application - configurationPropertiesReportEndpoint
16:05:09.988 [main] INFO  com.dc.dms.Application - counterBuffers
16:05:09.988 [main] INFO  com.dc.dms.Application - counterService
16:05:09.988 [main] INFO  com.dc.dms.Application - dataSource
16:05:09.989 [main] INFO  com.dc.dms.Application - databaseJpaConfig
16:05:09.989 [main] INFO  com.dc.dms.Application - dbHealthIndicator
16:05:09.989 [main] INFO  com.dc.dms.Application - diskSpaceHealthIndicator
16:05:09.989 [main] INFO  com.dc.dms.Application - diskSpaceHealthIndicatorProperties
16:05:09.989 [main] INFO  com.dc.dms.Application - dispatcherServlet
16:05:09.990 [main] INFO  com.dc.dms.Application - dispatcherServletRegistration
16:05:09.990 [main] INFO  com.dc.dms.Application - docDetailsService
16:05:09.990 [main] INFO  com.dc.dms.Application - dumpEndpoint
16:05:09.990 [main] INFO  com.dc.dms.Application - duplicateServerPropertiesDetector
16:05:09.990 [main] INFO  com.dc.dms.Application - embeddedServletContainerCustomizerBeanPostProcessor
16:05:09.991 [main] INFO  com.dc.dms.Application - endpointHandlerMapping
16:05:09.991 [main] INFO  com.dc.dms.Application - endpointMBeanExporter
16:05:09.991 [main] INFO  com.dc.dms.Application - endpoints-org.springframework.boot.actuate.endpoint.EndpointProperties
16:05:09.991 [main] INFO  com.dc.dms.Application - endpoints.cors-org.springframework.boot.actuate.autoconfigure.EndpointCorsProperties
16:05:09.991 [main] INFO  com.dc.dms.Application - endpoints.health-org.springframework.boot.actuate.autoconfigure.HealthMvcEndpointProperties
16:05:09.991 [main] INFO  com.dc.dms.Application - endpoints.jmx-org.springframework.boot.actuate.autoconfigure.EndpointMBeanExportProperties
16:05:09.992 [main] INFO  com.dc.dms.Application - endpoints.metrics.filter-org.springframework.boot.actuate.autoconfigure.MetricFilterProperties
16:05:09.992 [main] INFO  com.dc.dms.Application - entityManagerFactory
16:05:09.992 [main] INFO  com.dc.dms.Application - envInfoContributor
16:05:09.992 [main] INFO  com.dc.dms.Application - environmentEndpoint
16:05:09.992 [main] INFO  com.dc.dms.Application - environmentMvcEndpoint
16:05:09.993 [main] INFO  com.dc.dms.Application - errorPageRegistrarBeanPostProcessor
16:05:09.993 [main] INFO  com.dc.dms.Application - gaugeBuffers
16:05:09.993 [main] INFO  com.dc.dms.Application - gaugeService
16:05:09.993 [main] INFO  com.dc.dms.Application - healthAggregator
16:05:09.993 [main] INFO  com.dc.dms.Application - healthEndpoint
16:05:09.993 [main] INFO  com.dc.dms.Application - healthMvcEndpoint
16:05:09.994 [main] INFO  com.dc.dms.Application - heapdumpMvcEndpoint
16:05:09.994 [main] INFO  com.dc.dms.Application - homeController
16:05:09.994 [main] INFO  com.dc.dms.Application - infoEndpoint
16:05:09.994 [main] INFO  com.dc.dms.Application - jacksonObjectMapper
16:05:09.994 [main] INFO  com.dc.dms.Application - jacksonObjectMapperBuilder
16:05:09.995 [main] INFO  com.dc.dms.Application - jdbcTemplate
16:05:09.995 [main] INFO  com.dc.dms.Application - jerseyServletRegistration
16:05:09.995 [main] INFO  com.dc.dms.Application - jsonComponentModule
16:05:09.995 [main] INFO  com.dc.dms.Application - localeCharsetMappingsCustomizer
16:05:09.995 [main] INFO  com.dc.dms.Application - loginController
